Genes,No benefits,Responder,TIDE,IFNG,MSI Expr Sig,Merck18,CD274,CD8,CTL.flag,Dysfunction,Exclusion,MDSC,CAF,TAM M2
TCGA-Q3-AA2A-01,False,True,-0.61,-0.77,0.54,-0.62,0.23,-1,False,-0.07,-0.61,0.04,-0.14,0
TCGA-3A-A9IO-01,False,True,-0.62,-2.01,0.86,-1.55,-0.56,-0.97,False,-0.43,-0.62,-0.03,-0.15,0.08
TCGA-HZ-A9TJ-01,False,True,-0.62,0.07,0.37,-0.41,-0.39,-0.59,False,-0.84,-0.62,0.06,-0.17,0.01
TCGA-IB-7887-01,False,True,-0.72,0.33,0.54,0.4,-0.5,0.71,True,-0.72,1.11,0.06,0.11,-0.01
TCGA-HZ-A8P1-01,False,True,-0.79,-0.8,0.72,-0.72,-0.78,-0.73,False,-1.18,-0.79,0.04,-0.23,0.07
TCGA-FB-AAPU-01,False,True,-0.8,-1.23,0.87,-0.83,-0.51,-0.49,False,-0.89,-0.8,0.08,-0.23,0.02
TCGA-US-A776-01,False,True,-0.82,-1.5,0.93,-0.92,0.59,-1.01,False,-0.87,-0.82,0.08,-0.24,0.03
TCGA-3A-A9IR-01,False,True,-0.82,-1.01,0.91,-1.15,-1.07,-0.74,False,-0.31,-0.82,-0.02,-0.16,0.06
TCGA-H8-A6C1-01,False,True,-0.84,-0.16,0.33,-0.1,-0.2,-0.42,False,0.04,-0.84,-0.02,-0.14,0.02
TCGA-IB-7652-01,False,True,-0.88,-0.42,0.41,-0.17,0.19,-0.94,False,-0.05,-0.88,-0.14,0.05,-0.02
TCGA-HV-A7OP-01,False,True,-0.89,-0.53,0.96,-0.23,-0.65,-0.08,False,-0.3,-0.89,0.05,-0.28,0.08
TCGA-YY-A8LH-01,False,True,-0.91,-0.79,0.72,-0.47,-0.1,-0.41,False,-0.2,-0.91,0.12,-0.26,-0.01
TCGA-FB-AAPP-01,False,True,-0.93,-2.08,0.97,-1.44,0.32,-1.47,False,-1.05,-0.93,0.08,-0.28,0.04
