,TCGA-HZ-8002-01,TCGA-FB-AAPY-01,TCGA-IB-A7LX-01,TCGA-3A-A9IX-01,TCGA-3A-A9IB-01,TCGA-2J-AAB4-01,TCGA-IB-AAUO-01,TCGA-HZ-A77O-01,TCGA-FB-AAPS-01,TCGA-IB-A7M4-01,TCGA-IB-8126-01,TCGA-HZ-8636-01,TCGA-HZ-A8P0-01,TCGA-IB-AAUS-01,TCGA-3E-AAAZ-01,TCGA-HZ-8001-01,TCGA-S4-A8RO-01,TCGA-IB-7889-01,TCGA-FB-A4P6-01,TCGA-IB-7886-01,TCGA-2J-AABR-01,TCGA-XD-AAUL-01,TCGA-US-A774-01,TCGA-IB-AAUV-01,TCGA-2J-AABK-01,TCGA-3A-A9I7-01,TCGA-IB-8127-01,TCGA-IB-AAUU-01,TCGA-IB-7651-01,TCGA-S4-A8RP-01,TCGA-2J-AABV-01,TCGA-2J-AABO-01,TCGA-2J-AAB9-01,TCGA-FB-AAQ1-01,TCGA-LB-A9Q5-01,TCGA-F2-A44G-01,TCGA-IB-AAUT-01,TCGA-F2-6880-01,TCGA-H6-A45N-01,TCGA-HZ-7918-01,TCGA-HZ-A4BK-01,TCGA-F2-A7TX-01,TCGA-FB-A545-01,TCGA-XD-AAUI-01,TCGA-IB-7891-01,TCGA-3A-A9IU-01,TCGA-2L-AAQI-01,TCGA-H8-A6C1-01,TCGA-HZ-7926-01,TCGA-IB-AAUN-01,TCGA-IB-AAUM-01,TCGA-IB-7885-01,TCGA-HZ-A49G-01,TCGA-XN-A8T3-01,TCGA-FB-A4P5-01,TCGA-3A-A9IO-01,TCGA-FB-A7DR-01,TCGA-XD-AAUG-01,TCGA-HZ-8315-01,TCGA-HV-A5A5-01,TCGA-IB-A6UF-01,TCGA-HZ-A49H-01,TCGA-IB-A5SP-01,TCGA-LB-A8F3-01,TCGA-IB-AAUW-01,TCGA-2J-AAB1-01,TCGA-HZ-7922-01,TCGA-IB-7654-01,TCGA-HZ-8003-01,TCGA-IB-7649-01,TCGA-IB-7652-01,TCGA-US-A77G-01,TCGA-3E-AAAY-01,TCGA-2J-AABH-01,TCGA-3A-A9IZ-01,TCGA-F2-7273-01,TCGA-FB-AAPZ-01,TCGA-F2-A44H-01,TCGA-IB-A6UG-01,TCGA-HZ-A77P-01,TCGA-2L-AAQL-01,TCGA-F2-7276-01,TCGA-2J-AABF-01,TCGA-FB-AAQ3-01,TCGA-HZ-8317-01,TCGA-FB-A78T-01,TCGA-HZ-7919-01,TCGA-RL-AAAS-01,TCGA-3A-A9I9-01,TCGA-2J-AABI-01,TCGA-3A-A9IN-01,TCGA-HZ-8519-01,TCGA-XN-A8T5-01,TCGA-IB-7646-01,TCGA-3A-A9IH-01,TCGA-IB-7890-01,TCGA-FB-AAPQ-01,TCGA-3A-A9IL-01,TCGA-HZ-8638-01,TCGA-US-A77J-01,TCGA-FB-AAPP-01,TCGA-2L-AAQE-01,TCGA-IB-A5SO-01,TCGA-FB-AAPU-01,TCGA-F2-A8YN-01,TCGA-HZ-A49I-01,TCGA-2J-AABE-01,TCGA-2J-AAB8-01,TCGA-FB-A5VM-01,TCGA-HZ-A4BH-01,TCGA-HV-AA8X-01,TCGA-US-A77E-01,TCGA-IB-A5SQ-01,TCGA-2J-AABA-01,TCGA-LB-A7SX-01,TCGA-2L-AAQA-01,TCGA-Z5-AAPL-01,TCGA-HZ-7920-01,TCGA-US-A779-01,TCGA-2J-AABT-01,TCGA-XD-AAUH-01,TCGA-HZ-7924-01,TCGA-IB-AAUR-01,TCGA-HZ-A9TJ-06,TCGA-HZ-7925-01,TCGA-3A-A9IC-01,TCGA-2J-AAB6-01,TCGA-IB-AAUQ-01,TCGA-HZ-A77Q-01,TCGA-3A-A9J0-01,TCGA-HV-A5A3-01,TCGA-IB-7645-01,TCGA-3A-A9IS-01,TCGA-2L-AAQM-01,TCGA-FB-AAQ6-01,TCGA-IB-7647-01,TCGA-RB-AA9M-01,TCGA-HZ-8005-01,TCGA-F2-6879-01,TCGA-3A-A9IR-01,TCGA-IB-7887-01,TCGA-HZ-7923-01,TCGA-S4-A8RM-01,TCGA-HV-AA8V-01,TCGA-HZ-7289-01,TCGA-OE-A75W-01,TCGA-IB-7888-01,TCGA-HZ-A9TJ-01,TCGA-3A-A9IJ-01,TCGA-2J-AABU-01,TCGA-IB-7644-01,TCGA-Q3-AA2A-01,TCGA-IB-A5ST-01,TCGA-Q3-A5QY-01,TCGA-HV-A5A6-01,TCGA-HV-A7OL-01,TCGA-YH-A8SY-01,TCGA-IB-A5SS-01,TCGA-IB-7897-01,TCGA-L1-A7W4-01,TCGA-HV-A7OP-01,TCGA-2J-AABP-01,TCGA-IB-7893-01,TCGA-FB-AAQ0-01,TCGA-YB-A89D-01,TCGA-HZ-8637-01,TCGA-M8-A5N4-01,TCGA-US-A776-01,TCGA-PZ-A5RE-01,TCGA-2L-AAQJ-01,TCGA-HV-A5A4-01,TCGA-FB-AAQ2-01,TCGA-H6-8124-01,TCGA-3A-A9I5-01,TCGA-RB-A7B8-01,TCGA-HZ-A8P1-01,TCGA-IB-AAUP-01,TCGA-3A-A9IV-01,TCGA-YY-A8LH-01,pvalue
CD274,3.28002093054573,1.87066062667928,3.41542066426223,2.32716997039999,3.00437554418808,2.7411649326438,2.70648634825951,1.95214715961952,1.74079806804147,1.76132783010978,1.85965156385983,3.19679586616706,0.914028675171847,2.37122428583846,1.12545273398595,1.93918895807108,2.33799646351502,1.82676201577631,2.67038715697383,3.47761257319285,2.16069434614725,1.97610697083721,2.32900875032423,1.98418829284209,1.96091940290538,2.11663091203631,3.33111758694089,2.30173395713938,3.19624506603131,2.21101219348551,0.41781201761461,1.26129009525938,1.71892051082171,1.12578333162732,1.53819048437981,2.15853092476042,2.54586955099224,0.828550346572094,2.26738597772062,2.97212281477679,2.90979230155271,3.37534531979267,2.68976879875178,2.2054550742976,2.93281710274185,1.94088087223343,1.95296716922408,1.85415527265132,3.12388135979715,2.58937999547796,1.64445622611283,2.35352090708552,2.74994181167359,3.03479676208744,2.55645394044368,1.3241193264351,3.08357080592353,1.99276843076892,3.40585624994972,2.35518545230968,2.22650852980868,2.43111478485284,1.63245435768942,0.893672851889234,2.28045157913578,2.30389762000339,2.17884209617837,1.38316512484753,2.11938938022585,2.09383057163514,2.56205921321811,1.2424500736777,2.31689876001794,1.14456851766471,2.04309948491404,2.58108606581553,1.98181612890232,2.15607296095057,1.74002087020338,1.51010110758187,0.966651949031405,2.67303623639677,2.6851552523565,1.25658800965002,1.73504553263769,1.74850416971751,3.54789397067095,1.4537546068517,1.29071928277095,1.73747044908606,1.41510963222758,2.62496648594482,2.41080238932033,4.30627682411674,2.17718430221153,2.50576392633704,1.41413553298445,1.73113978624784,2.95130803106205,1.97757301271922,1.9678694911112,1.51187280747404,2.1659440877706,1.26903314645524,1.39692667603135,2.57717501223677,1.82566353245019,2.08624027582074,2.22829537819468,3.24200792904953,1.02871058595414,1.79593314731496,2.25990517535335,1.54374332276106,0.917240783778086,1.70664105730941,3.14930814832141,2.83062041450882,0.744505578628611,1.55109760615911,2.59459632011842,2.28273632027634,2.77222350556285,1.53446008192673,2.3974744170459,1.98517250780299,4.08813311439441,2.63691458035588,2.79632779448694,1.05755424645809,1.38393925121513,2.99980161579265,1.40010068301548,1.86211411139865,1.04278439808924,2.22193893162862,2.30748681472341,3.29347348812944,2.24467398716032,1.09605940269333,1.73928646538163,3.29622244553511,1.85195887270737,2.17251951815076,1.16934780797957,1.80850861667397,2.69175747504129,1.43215768731055,1.76017835705439,2.74310560423169,1.98367769469807,2.12128069979273,1.59960344760291,2.36910349584131,1.74532339638086,2.61821515874221,2.30032876310035,3.29626650379433,3.3967212195248,2.2732174731035,0,3.30852106219326,3.68721749449633,1.40250390087259,2.86012851412289,4.4150420076938,2.08028244563277,2.29257563521351,2.49433880116347,1.18256518222108,2.02201264438045,1.90319256079707,3.30423357377546,1.01991536770769,1.73807604188017,1.11902410314227,2.42950884597616,1.32434978890219,1.95824877499418,0.584586365457337
CTLA4,2.83260650939041,2.93030209833084,1.48295151336731,3.12325233057965,2.0076619691568,2.13924026971887,1.70434081330319,1.40887486820896,3.35746755170485,2.84713503962798,2.14769744361387,3.03403959435364,1.24823120674876,4.12252363815545,1.11988733634095,2.59471573961877,2.18132522078602,1.66979781149668,2.71957774514626,2.17954289749264,3.93289267410149,1.66070048311523,2.08249822711716,2.51717489003452,1.53091972422148,1.92755517143713,2.6898805948448,2.4764076117735,3.15912861167602,1.87353762319319,0.308943288125214,1.98386007192363,1.93493160590225,1.28030309414261,1.40490312214513,1.43274565884385,2.54522706822015,0.0869196067373263,2.51174632961087,3.37635984887578,2.20238637533479,3.16341822250073,0.91226662806645,2.83850810278066,2.52210598140069,0.759241071757278,0.617862660013215,2.22097994997446,2.10815641805936,2.26384569364098,2.02194160015722,2.30949636271159,2.68322483488033,1.59826991188321,3.68103315140233,0.511366829479557,1.89704676223591,2.32054244242846,2.91699248288407,2.69574889038516,0.770955870791122,2.62882024586343,0.702391584308051,2.52471565067338,2.48547835107307,2.88385538177532,1.87452157860017,0.465295389395796,2.0315010653147,1.91349262775008,1.4642500339114,0.996967154810942,3.25524389546378,1.04019107183829,1.61913125256549,3.11943918357236,2.84074519906159,1.2123203085061,2.42859801979762,1.23909248294191,1.01856296334702,2.37956551536991,2.23229236208915,1.08719124956262,1.44879525532905,2.33734002491619,3.04343200192307,1.84522908771872,1.18637377746594,2.89689181284491,1.2356045327633,2.0679484225467,3.2681049735405,3.09949720117019,1.5647195944431,1.46988597627446,0.953674984449487,0.612965779193908,1.73898395470051,4.78049908601492,0.0651586751285468,2.20889177502615,2.69043944539871,1.00662118012238,0.898324460113375,2.27223226014915,1.8535166647547,2.85435477966156,2.69412243968227,3.37867807846314,0.503043370568864,0.86092308099922,2.82970751536579,2.60509129011727,1.38139413178685,1.20770547648153,5.54827323331331,3.48509187694181,0.518132235945033,3.25474519762921,3.2586093729757,1.62601853270775,4.48954935788174,0.78425269340458,2.95555459642976,1.59869868280581,0.999278472082541,1.64353298988583,3.18115026865398,1.57225910927892,1.33279384840491,3.23031062726926,0,0.139993301903365,1.09578942467319,3.1584662951248,1.67928866580463,1.89208010863284,1.28131249085814,0.534858451400718,0.983385843174108,4.07030345063069,1.84755601570848,1.84217431759439,0.351176002702812,2.42570098696618,2.03054796416297,1.71039319217052,0.0705267208766824,1.88451977696226,1.30000654660916,1.40506656021047,2.82627390422066,4.85479858379873,0.804714436230806,2.6262989489918,2.28557977040279,1.44604444259604,3.27288914353521,1.509999801842,0.925999418556223,3.44364643112133,1.35456499895441,0.890485605035531,2.83270776749112,4.77275135816352,1.84478735007906,0.531269159882994,1.98753916392088,1.72132890763703,1.47866123635187,1.55880640086106,1.1700532353023,1.72818174924652,2.39003478577286,0.914717586465903,3.61221093546661,0.192320435034499,1.97969613074096,0.150392353767118
HAVCR2,5.078490288251,4.69832406452148,3.29670701240039,4.63834033454068,4.85216367858238,4.54119266272144,4.35647485948095,3.82358633470881,5.20739703520102,3.45306975406888,3.26291417623742,4.92993772105224,2.924213928172,6.75783400107343,3.27330700456454,4.64732602342809,4.58074849176377,4.96614895187643,4.95107485315252,5.13129314500955,4.96244722558283,4.83734283477016,4.75967783726179,5.59603168477256,3.01947063776104,3.95306032264923,5.46639219805967,4.54513437882153,5.56445133805567,4.47906237497281,2.06970216663007,3.6210906791154,4.41278152533848,4.25034011095366,3.74813916691477,4.01691523254419,5.40802906835218,1.09098888841477,4.43198392257991,6.02968477618099,4.66467624865933,4.92265932279825,2.4400751555063,4.39514508015832,5.38764515123045,3.60588541571079,3.75115303909519,3.5489297694764,3.99962124283771,3.80044437630527,2.96919654799175,5.00773820435345,5.40147346530026,4.59373620778717,5.00855411707405,1.36692364897852,4.46715555467748,4.66904377832254,4.98079307045385,4.34871399273786,3.7519242645692,3.80564328297958,3.66677931131285,2.85031937818731,4.05428413572038,4.27482818992075,4.71160503183932,4.16472997204187,4.58705889587496,4.94409005294873,5.36244884783293,2.85963168750996,4.92807180350743,4.21335505904423,2.62896018879855,6.20754150325118,4.71192985217965,4.28506925081656,2.87044363407689,3.9544662087274,4.55501238932227,5.45375131506786,5.27483191634649,4.04244297635481,2.82615185052358,4.56577384643917,4.78438357882722,4.52800237980165,3.97112965377522,4.15540114374745,3.05271149809457,4.39724849907552,3.59029062141644,5.61388226535516,3.81749023694279,5.03871271852607,3.08576455377831,2.23060268169139,2.61001492638754,5.0380454281022,0.87263179113525,2.96517476153647,5.17612726144816,2.65949077158342,3.52206830738487,4.84406421479239,4.31877235732284,4.18485154568042,4.851244322147,5.00231546979518,2.74809621933674,3.37370388590116,5.0718141441801,3.62900683342718,2.15678490755436,3.22792586695535,4.85142424233719,5.11001656064764,2.69844075617584,4.85946769717393,4.30227517714312,3.2337193678563,4.9112026123274,4.0788232858561,4.82519540581482,4.04822746527446,4.32066518412251,4.14923497347014,5.19612701006698,4.08417484448643,3.13450025002982,5.92390504212606,1.43781364818791,1.60212427037126,2.69233791964413,5.67271950861484,3.39270209016962,5.39432892292489,4.18638962559756,1.90715987355099,3.82381049015896,5.20032778795602,3.0962618530584,4.66086588368266,1.04621164411978,3.90614019906724,5.22183455728461,3.51108846592374,2.1111314960658,4.04365946941087,3.98781198996842,4.08208089769097,4.84597170522544,5.01448920028724,3.31898199095519,4.7104648291831,3.83965731524464,5.22098768624767,5.30395970431044,3.04201389602204,1.9224262253128,5.50240698665329,5.05937691095712,1.76506791656438,4.7904644942194,6.03597354496948,4.89152126071433,1.10393399105623,5.39062985696149,3.58878058584814,4.42115596066222,2.66639303236902,3.30097298026823,2.75625474272391,3.96482370712719,3.11551605868664,4.78957276837319,2.91293722572693,2.59473962233269,0.0384569543298373
LAG3,2.0874288950853,2.38059093426592,1.29760229865201,1.88436347620743,1.60283691180354,2.26636678653399,3.85662721169839,1.76481321844552,2.49768900076968,2.2486259124962,1.76667996129674,1.60103086934881,1.19604042955292,2.88604282255529,1.55355710936464,2.65615310330179,1.98185265328974,1.4253518774567,2.0201999229435,2.13809359648728,2.69735126683904,1.14750208442593,2.6266026718054,2.41611010488972,1.62372642396227,2.73545718956974,1.90523535610952,1.40206724982783,4.02944405113015,2.16127501139224,0.863462758259122,1.29654550819512,1.50553529205146,1.22286637184799,0.927668941171634,1.00654937388386,2.80072391920955,0.120219211624994,2.3345110701291,2.73129187415693,2.16941195199135,3.79978153964283,0.866710199674025,1.89250760262074,1.90106961612417,1.54547421084018,1.22249546730206,1.55777767139493,1.50115885929447,2.52802113961155,1.33009941806848,2.68802365705471,1.98942969748425,2.21530583929618,3.44580614472226,0.635336494705166,2.86892377132561,1.57099716359681,2.35696073038077,2.12743518442737,1.11716307546576,2.13474665536849,0.826843351648964,0.832849516893454,2.10514166032342,2.53338891858062,1.12393100831963,1.02616265448968,2.24640808724638,1.47196778766152,0.902729639233376,1.06515867512855,2.14844607552888,0.729095908137104,1.85885629619134,2.21936990276098,1.51596470223921,0.803144358132324,1.84522908771872,2.42021289061078,1.57318060278937,2.12220886170023,3.28764959209501,1.64961545906341,0.731791478717128,1.54151483946068,2.30085587126876,2.41559643532032,1.59191872937568,2.75559264738422,3.70378732282977,1.84177189219683,2.42037460355082,2.91332028448548,1.10561103660449,1.43525520506118,1.00237848510643,1.75578489991633,2.43365387104941,3.62057468117622,1.83009303213299,1.73196521366928,2.07460818876144,0.743816530237774,0.798589739233104,1.9247460074871,0.97100086060977,2.15396742753934,3.04732898386556,3.10296041064566,1.19780250005091,0.965396436105914,1.80636530612246,1.45859198815186,1.59450077740045,1.12967867332579,4.29004097115977,2.827778384748,0.73993448903754,3.1046385876459,2.5626698261027,1.92010270703537,3.11071401817367,0.962141790457795,1.55689531906081,1.87794052163707,2.16021027985079,2.04106771708669,1.98455289519458,1.16291896154578,1.55772866597564,2.30149985315868,0.933648170055543,3.00678273109294,1.27810372755144,1.83907274259588,1.33176253339927,3.55693209451761,1.54384228661354,0.958137391474273,3.89068015107206,2.51964254250815,1.64473308181141,1.62489632220904,0.931380494265033,2.82867219753073,3.06498629159357,1.25326319925981,0.470719061350819,2.37033170158454,1.5039084024507,1.57075435513387,2.04753838876336,2.57029290644045,1.80330970999966,3.92823765530626,2.35645373094689,1.51333914094596,2.4022310094573,1.39763869880663,1.12948085869888,4.61250584330548,1.53749487441412,1.2807781923368,2.11219968930066,4.49561842148514,1.92158866648469,2.96356660146223,1.71321190304112,1.06949595441242,1.78534129870518,1.3164354110105,0.569296645561645,1.45359659275458,1.8261925362366,1.07765318565016,2.61854407986816,3.77677779042805,2.2669064480269,0.741153166223163
PDCD1,2.47814347326819,2.68326975765912,1.53863748517064,2.72021278718112,3.12708845219075,2.49932291498816,2.269511969905,1.24421729838856,3.29678041742643,3.16402998419394,2.19629228571223,2.50006267358536,1.57104572038597,3.14425851505358,1.2205776065909,2.24382138448148,1.86734299535976,1.32762988514096,3.23776254935202,1.25586324970299,3.13933851360143,1.29889288105416,2.05637543234357,3.40382669245772,1.31127059148664,2.45646448700053,2.90733295426286,1.11416709954703,3.31776713851222,1.92698618814887,0.708054771328352,1.35833999350208,2.16497931095243,2.2724114398274,0.915941505980148,0.841409613338104,3.00929341957977,0.276317992652217,2.83513583225559,2.47682233573213,2.93713720174522,3.36594444099718,0.678071905112638,2.75433169035487,2.30220205116847,1.13651953255056,1.73048779926378,1.29083721745923,2.6864781162124,1.97074323978062,1.85925398482326,1.81475548280987,2.1823109180257,2.31692771439043,4.86264479570954,0.389676936951962,1.71004046577509,2.24877769364971,1.39731011657604,3.50109515036666,1.03463831799901,3.30271385517073,1.02595012360846,1.00209039264061,2.69200307625908,2.61103070090669,1.8247271272321,1.18478808448697,1.75826053106734,1.84209384149458,1.09794783553483,0.885027637499917,2.41827092013782,0.801324235692284,1.55723852020722,3.13856875740703,2.00622620157542,1.13027195451886,1.79618241072,2.03685495329737,1.20708071679703,3.51770402814457,2.17903325757269,1.03513119802949,0.903963766802978,1.50517956668337,1.89743406292035,2.45909057768484,1.36888007332495,2.96515628711811,1.06239806379848,2.96617202897858,3.20759616306541,1.28912622017512,1.11928976837475,0.821873452762942,0.791689066898093,0.918309899355937,2.00988458893184,4.78896754101525,0.190804468127001,1.8682916687728,2.64108355271207,0.806530289259566,0.961178783796711,2.14084408264573,1.00417776078911,1.47238378969464,2.47428027829413,3.45437332881427,0.480678738754798,1.03484957291691,2.13343200698074,2.08501667348871,1.18890726664259,0.934554243277908,5.03477035594775,2.27279958613779,0.676718744118433,2.4102325455982,2.82050576604455,2.4751367775205,4.97115725081487,1.19522159325284,1.39011735366633,1.81512451620352,1.46126660848879,1.70030654014439,2.83689362740974,1.07813158946734,1.93839871858294,2.84769631377526,0.0973411087967018,0.465817783231713,1.33748275436959,2.36025189085822,1.7477740717427,2.48204799770465,1.28350697488886,1.3371972813408,1.41732596166946,3.3538172802247,1.76409132949331,1.05227676545236,1.17995684740514,2.25921221653414,2.66195477256849,1.09949720117019,0.205767840149818,2.32088898033178,1.43194382005435,0.864334740782428,3.69962936184295,4.21711436515477,0.326537348139952,4.0398314932561,1.11895767918955,1.09180136921767,2.727201650071,0.70363230743707,0.545177634615292,3.5365254298435,0.805540107312055,0.540622481412367,1.91582680762387,4.26348517760465,1.93990356386477,0.568226721666338,1.45464969330931,2.20241772157518,1.61668704183111,1.03913839390696,1.20758054618695,3.22741763442025,1.91941636304484,0.645793870079994,4.69671720562044,0.14938944935895,1.4734232702792,0.0426955028796984
PDCD1LG2,2.8948565579471,1.7840013601022,1.34936527759421,2.77330012007234,2.67604168737974,1.83527734330512,2.29947912798038,1.82232226130316,2.924859998957,2.10453795205619,2.01945284571131,3.91561650361743,1.07546417426251,3.74367652706114,1.0232553523003,3.08795497090577,1.52937120525393,2.24159615530954,2.40640061182426,3.4597725789896,1.98964767664019,1.72425735120072,2.9631411559292,2.82454384640344,0.980610305078576,1.77357442277131,2.89398342614174,2.06353745612874,3.74600097300256,2.42338992262821,0.197991165735134,1.26104933510348,1.75236325047303,0.858856296191337,1.36843312446466,2.03164221194961,2.25800627740816,0.327572403815742,2.83369972095793,3.6226844160318,2.43189034828618,3.3098164669044,1.13093086982645,1.51702367206458,2.95136398815284,1.7014603412229,1.08208941582486,1.54749918495523,2.02403593545551,2.21191554249182,1.12154594984696,2.61849709572691,3.52575569282949,2.62084443039305,2.94352755487513,0.806282807478207,2.95484770300517,2.17488574575301,3.01968412524482,2.20658071417854,1.35275852504064,2.89099137017336,0.900876466157899,0.899020909579417,2.04659582727159,2.09848693406636,2.83055957253426,2.13924026971887,2.54966917072649,2.54485627488998,3.09107354318392,0.609471311411451,2.31437750253786,1.1764504391191,0.989502360862381,2.39837773531862,1.3467583722268,2.42449217088921,1.40773343098793,2.00165814604568,1.15387017484855,2.42706975521079,2.84857787506478,1.75488750216347,1.45396526539641,1.4828998991412,2.67926614252267,2.31167748386373,1.33273657246386,2.00834345852933,1.43263877275075,2.269511969905,2.27399322790603,4.23519092704256,1.77074448999912,3.13546920167402,0.788602194735141,0.821546958834331,1.86595839412015,2.76928511780661,0.165944087770598,1.37523409513446,2.67070439715562,0.359071312288344,1.62452205797686,2.18589825254622,2.20779916710343,2.13073322683129,1.79189740132074,2.47930817900937,0.878999927592011,1.11796095273242,2.35100634373385,1.93964032922561,0.979000970620063,1.36266625584825,3.0355711272393,2.92339642409121,0.43626846471939,1.92618923436347,2.15458320905307,2.10134752211241,2.96190109904945,1.04201389602204,2.84601183582463,2.66800562942296,2.25168879947866,2.42583523736324,3.15555496084056,1.83802394984556,0.871528270862223,3.4000596843547,0.379620962055708,1.51212572994114,0.840040182726607,3.31485601076481,1.40718957187911,3.93086977561876,2.61957734404188,1.01913255128943,2.28705851742233,3.60497272641039,1.8103608380619,2.58491441008494,0.284869433096032,1.78889447916044,3.10822334117387,1.35895882583233,0.504569547629511,2.1755884710669,2.31353610328052,1.37401005761793,2.32607708492313,2.22196985591009,2.04586229790869,2.31831684133498,2.33393888996737,3.44509101484404,4.00724933230441,1.71470710622898,0.383607533633852,4.71941346463266,4.15095766253707,0.861240785259674,2.80632405739003,4.92015988763191,1.87872534148011,0.526769951354816,2.61511021003753,1.20576784014982,2.34712702519899,1.50903704235289,1.72948751326574,0.878215257149036,2.25068876926797,0.980829620750674,3.05814329251229,1.30702043251839,0.876330305006464,0.48237673009191
TIGIT,2.76983519951239,2.20836118309842,1.21692042585688,3.00164013296014,1.30702043251839,1.47160368745638,2.13198450875653,1.21636173497113,2.66809642634801,2.42682830221828,2.43895814789755,2.65885126896645,1.02750795682646,3.55626999282486,0.924327961689101,2.29113201200875,1.42841042535734,2.45769934501606,2.16217780416156,1.99729240763651,2.67676386993883,1.09349256937487,1.87782276182847,2.5126061605049,1.31597191314189,2.06935846322382,2.57131275351758,2.12921706366415,2.65677092556084,1.26981115388004,0.181675061414897,1.02743718270685,1.48516918005091,0.772899122289308,0.969380764941608,1.21667214550676,2.71595924552951,0.0615688492680028,2.36216125787067,3.31833130437067,2.28705851742233,2.63610254597701,0.580917288663207,2.36188062703844,2.97465779105408,0.561790461653818,0.496513480876802,1.26351522404884,1.92569566130889,1.59602870212736,1.38587275177951,2.62877359520165,2.29698593163197,0.976656911139756,3.53643839654487,0.253626278421377,1.49026204879057,1.61244686656018,2.12084956441415,1.44105846999321,0.456595905126213,2.38794148803247,0.685805625154268,0.165172317937167,2.42516386041597,1.76188095362998,2.36586047795098,0.831958289198261,2.00608254619795,2.30955456875698,1.72150390703571,0.74536642658117,2.56803210477128,0.642378113148399,0.959250839890188,2.054327554426,2.29534099768018,1.16729369233518,1.94871296969391,1.56958830533033,0.936590829823939,2.8456305500546,1.7007504189987,0.686702210256078,0.543792805535877,1.44964060511718,2.63682179955641,2.60925853673626,0.753176627322123,2.19459140277373,0.703012079250873,1.90927388176868,3.63290797868549,2.08328145844349,1.10822334117387,1.1955995754499,0.431355521573517,0.246104009883917,1.59244507705236,4.29250201592857,0.0686020273786715,2.08082818459605,2.30129498100914,0.73889751142532,0.664027659720147,1.55232788188124,1.58606814314371,2.03773362744651,2.28953940534605,2.98719351017846,0.394075065625738,0.478195257939166,1.94620682903753,1.99367436175058,0.739588912644274,0.616734084956271,5.61397064159867,2.62907679754256,0.346077534535597,2.48023926707295,3.40721676970435,1.97797591319913,4.41229377133342,0.581977845763114,2.26846433712286,1.1373723636934,0.767231037023876,0.926986188148874,3.08868437153339,1.14241343787374,0.780478088685029,3.47120046930075,0.034215715337913,0.177854025259949,0.760433874670112,3.21302059681506,1.22946487314009,1.88814900401585,0.669752467255762,0.629100118160383,1.09213976788713,3.63729723809523,1.04760818364211,1.53669948069099,0.255440304865444,1.13933851360143,2.35052553494486,1.12452665735752,0.233888060174277,1.50309426915734,1.35558014737736,0.939677937114794,3.352094642216,4.78333092382368,0.775851231035542,2.69017122414934,1.17683337078449,1.43807989194471,3.79260551340769,0.976876828577374,0.117828003827481,2.54327315173304,1.68248340700574,0.642285683059577,2.09801523386896,3.82291365931674,1.12075005333493,0.476226132546232,1.29136780428531,1.81958644208501,1.28510625106125,1.16986088023779,0.636821799556406,1.01135250722991,1.87231658575036,0.590146876580879,4.00878266921292,0.0356239097307212,1.35450858087017,0.0711474015945859
